year,nomination,player_id,player_name,position,nfl_team,fantasy_team_id,fantasy_team_name,owner_name,auction_cost,draft_type,scraped_at
2022,19,2563965,D'Andre Swift,RB,PHI,7,Ja'marroquai,Zach,31.0,auction,2025-07-01T16:39:21.219203
2022,20,2561021,Nick Chubb,RB,CLE,8,Bot boy,Nick,36.0,auction,2025-07-01T16:39:21.219403
2022,21,2563731,Tee Higgins,WR,CIN,9,Magnum TI,Kyle,24.0,auction,2025-07-01T16:39:21.219574
2022,22,2563548,J.K. Dobbins,RB,BAL,10,Tom and Terry,Cole,24.0,auction,2025-07-01T16:39:21.219735
2022,23,2564556,Justin Jefferson,WR,MIN,11,JJ the Jet Plane,Jake,41.0,auction,2025-07-01T16:39:21.219890
2022,24,2552608,Stefon Diggs,WR,BUF,12,Mad Mixon,James,29.0,auction,2025-07-01T16:39:21.220100
2022,25,2563848,CeeDee Lamb,WR,DAL,1,The Wrath of Quon,Matt,27.0,auction,2025-07-01T16:39:21.220335
2022,26,2566049,Javonte Williams,RB,DEN,2,Chubbinator 2 Judgment Day,Ryan,33.0,auction,2025-07-01T16:39:21.220516
2022,27,2566157,Travis Etienne,RB,JAX,3,Lazy Lazard Saloon,Cameron,21.0,auction,2025-07-01T16:39:21.220688
2022,28,2558116,Aaron Jones,RB,GB,4,Super Lamario Sunshine,Craig,36.0,auction,2025-07-01T16:39:21.220849
2022,29,2563602,Gabe Davis,WR,BUF,5,The Najee Trois,Benjy,16.0,auction,2025-07-01T16:39:21.220987
2022,30,2543468,Mike Evans,WR,TB,6,Koo D'etat,Alexander,27.0,auction,2025-07-01T16:39:21.221126
2022,31,2564832,Jalen Hurts,QB,PHI,7,Ja'marroquai,Zach,19.0,auction,2025-07-01T16:39:21.221266
2022,32,2557978,James Conner,RB,ARI,8,Bot boy,Nick,36.0,auction,2025-07-01T16:39:21.221415
2022,33,2555260,Dak Prescott,QB,DAL,9,Magnum TI,Kyle,16.0,auction,2025-07-01T16:39:21.221550
2022,34,2558846,Mike Williams,WR,LAC,10,Tom and Terry,Cole,20.0,auction,2025-07-01T16:39:21.221687
2022,35,2562382,Kyler Murray,QB,ARI,11,JJ the Jet Plane,Jake,19.0,auction,2025-07-01T16:39:21.221826
2022,36,2562674,Diontae Johnson,WR,PIT,12,Mad Mixon,James,15.0,auction,2025-07-01T16:39:21.221968
2022,37,2558125,Patrick Mahomes,QB,KC,1,The Wrath of Quon,Matt,26.0,auction,2025-07-01T16:39:21.222105
2022,38,2562721,Deebo Samuel,WR,SF,2,Chubbinator 2 Judgment Day,Ryan,40.0,auction,2025-07-01T16:39:21.222242
2022,39,2568030,Breece Hall,RB,NYJ,3,Lazy Lazard Saloon,Cameron,23.0,auction,2025-07-01T16:39:21.222379
2022,40,2560757,Lamar Jackson,QB,BAL,4,Super Lamario Sunshine,Craig,20.0,auction,2025-07-01T16:39:21.222516
2022,41,2566073,Amon-Ra St. Brown,WR,DET,5,The Najee Trois,Benjy,12.0,auction,2025-07-01T16:39:21.222653
2022,42,2564319,Cam Akers,RB,LA,6,Koo D'etat,Alexander,26.0,auction,2025-07-01T16:39:21.222792
2022,43,2564271,Clyde Edwards-Helaire,RB,KC,7,Ja'marroquai,Zach,12.0,auction,2025-07-01T16:39:21.222929
2022,44,2563722,Joe Burrow,QB,CIN,8,Bot boy,Nick,12.0,auction,2025-07-01T16:39:21.223061
2022,45,2557917,Kareem Hunt,RB,CLE,9,Magnum TI,Kyle,10.0,auction,2025-07-01T16:39:21.223197
2022,46,2562685,DK Metcalf,WR,SEA,10,Tom and Terry,Cole,17.0,auction,2025-07-01T16:39:21.223336
2022,47,2540145,Cordarrelle Patterson,RB,ATL,11,JJ the Jet Plane,Jake,16.0,auction,2025-07-01T16:39:21.223473
2022,48,2532975,Russell Wilson,QB,DEN,12,Mad Mixon,James,8.0,auction,2025-07-01T16:39:21.223612
2022,49,2560813,D.J. Moore,WR,CHI,1,The Wrath of Quon,Matt,18.0,auction,2025-07-01T16:39:21.223746
2022,50,2566538,Elijah Mitchell,RB,SF,2,Chubbinator 2 Judgment Day,Ryan,25.0,auction,2025-07-01T16:39:21.223882
2022,51,310,Matt Ryan,QB,IND,3,Lazy Lazard Saloon,Cameron,,auction,2025-07-01T16:39:21.224014
2022,52,2540154,Keenan Allen,WR,LAC,4,Super Lamario Sunshine,Craig,17.0,auction,2025-07-01T16:39:21.224148
